id,label,fullname,tong,lt,th,khoi,group,type,clo,content,plo,level
A002,GDTC2,Giáo dục thể chất 2,1,0,1,Tây y,Đại cương,Health Promotion,CLO1,Trình bày được lịch sử phát triển của môn bóng rổ; ý nghĩa và hiệu quả rèn luyện thể chất sau khi tập luyện môn bóng rổ,,
A002,GDTC2,Giáo dục thể chất 2,1,0,1,Tây y,Đại cương,Health Promotion,CLO2,"Thực hiện được các kỹ thuật: chuyền bóng, dẫn bóng, ném rổ và phương pháp trọng tài và phương pháp tổ chức thi đấu",,
A003,GDTC3,Giáo dục thể chất 3,1,0,1,Tây y,Đại cương,Health Promotion,CLO1,Trình bày được lịch sử phát triển của môn bóng chuyền; ý nghĩa và hiệu quả rèn luyện thể chất sau khi tập luyện môn bóng chuyền,,
A003,GDTC3,Giáo dục thể chất 3,1,0,1,Tây y,Đại cương,Health Promotion,CLO2,"Thực hiện được các kỹ thuật: chuyền bóng, đệm bóng, phát bóng và phương pháp trọng tài và thi đấu",,
A004,GPAN,Giáo dục quốc phòng – an ninh ,7,7,0,Tây y,Đại cương,Health Promotion,CLO1,"Hiểu biết cơ bản về chủ trương, đường lối quốc phòng an ninh của Đảng, Nhà nước về xây dựng nền quốc phòng toàn dân, an ninh nhân dân",,
A004,GPAN,Giáo dục quốc phòng – an ninh ,7,7,0,Tây y,Đại cương,Health Promotion,CLO2,Nắm được kiến thức cơ bản về công tác quốc phòng và an ninh trong tình hình mới,,
A004,GPAN,Giáo dục quốc phòng – an ninh ,7,7,0,Tây y,Đại cương,Health Promotion,CLO3,"Rèn luyện phẩm chất, bản lĩnh chính trị vững vàng, lòng yêu nước, yêu CNXH, xây dựng tác phong nhanh nhẹn, hình thành nếp sống có kỷ luật trong sinh hoạt tập thể, ý thức cộng đồng ở lớp, trường",,
A004,GPAN,Giáo dục quốc phòng – an ninh ,7,7,0,Tây y,Đại cương,Health Promotion,CLO4,"Xây dựng tinh thần ”giữ tốt, dùng bền, an toàn và tiết kiệm” trong sử dụng vũ khí, trang bị",,
A005,THQPAN,Thực hành Giáo dục quốc phòng – an ninh ,2,0,2,Tây y,Đại cương,Health Promotion,CLO1,"Thành thạo điều lệnh đội ngũ từng người có súng, biết đội ngũ đơn vị; có hiểu biết chung về các quân binh chủng trong quân đội nhân dân Việt Nam; có hiểu biết ban đầu về bản đồ quân sự; biết cách phòng tránh địch tiến công hỏa lực bằng vũ khí công nghệ cao",,
A005,THQPAN,Thực hành Giáo dục quốc phòng – an ninh ,2,0,2,Tây y,Đại cương,Health Promotion,CLO2,"Thực hiện được kỹ năng cơ bản về kỹ thuật chiến đấu bộ binh, chiến thuật từng người trong chiến đấu tiến công, phòng ngự và làm nhiệm vụ canh gác, biết sử dụng súng tiểu liên AK, lựu đạn",,
C006,PL,Pháp luật đại cương,1,1,0,Tây y,Đại cương,Ethics,,,,
C007,XSTK,Xác suất Thống kê y học ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO1,Sử dụng được các phương pháp tính xác suất trong tính toán độ chính xác của xét nghiệm và phân tích quyết định,PLO2,I
C007,XSTK,Xác suất Thống kê y học ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO2,"Nhớ được ý nghĩa các mô hình xác suất,  khái niệm giả thuyết thống kê, sai lầm loại 1 và 2, giá trị p",PLO2,I
C007,XSTK,Xác suất Thống kê y học ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO3,"Sử dụng được một số biểu đồ và các phép kiểm thường dùng z, t, χ2, F thường dùng",PLO2,I
C007,XSTK,Xác suất Thống kê y học ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO4,"Nhớ kiến thức cơ bản về lấy mẫu và thiết kế thí nghiệm, khái niệm phân phối mẫu và các đặc trưng của mẫu",PLO8,I
C007,XSTK,Xác suất Thống kê y học ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO5,Đánh giá được sai số ước lượng và cỡ mẫu cần thiết,PLO2,I
C007,XSTK,Xác suất Thống kê y học ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO6,Chọn được các phương pháp kiểm định thích hợp,PLO2,I
C008,VLLS,Vật lý – Lý sinh ,1,1,0,Tây y,Đại cương,Clinical Methods,CLO1,"Giải thích được các hiện tượng về cơ học, cơ học chất lưu, nhiệt động lực học, ánh sáng và điện học trong cơ thẻ sống",PLO4,I
C008,VLLS,Vật lý – Lý sinh ,1,1,0,Tây y,Đại cương,Clinical Methods,CLO1,"Giải thích được các hiện tượng về cơ học, cơ học chất lưu, nhiệt động lực học, ánh sáng và điện học trong cơ thẻ sống",PLO7,I
C008,VLLS,Vật lý – Lý sinh ,1,1,0,Tây y,Đại cương,Clinical Methods,CLO2,"Trình bày các tác động của dòng điện lên cơ thể sống để ứng dụng trong trị liệu, Điện châm",PLO4,I
C009,Hóa,Hóa đại cương và hữu cơ  ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO1,"Giải thích được các nguyên lý chuyển hóa năng lượng, cơ chế, tốc độ và cân bằng của các phản ứng hóa học",PLO4,I
C009,Hóa,Hóa đại cương và hữu cơ  ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO2,"Trình bày được định nghĩa, đặc điểm, tính chất và ứng dụng của: dung dịch, nồng độ, pH, áp suất thẩm thấu, độ tan",PLO4,I
C009,Hóa,Hóa đại cương và hữu cơ  ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO3,Giải thích được tính chất hóa học cơ bản và một số ứng dụng của các nguyên tố hóa học trong y học,PLO4,I
C009,Hóa,Hóa đại cương và hữu cơ  ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO4,Trình bày được mối liên quan giữa cấu trúc và tác dụng sinh học của các hợp chất hữu cơ,PLO4,I
C010,Sinh,Sinh học và di truyền ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO1,"Trình bày được đặc điểm các quá trình sinh học ở mức tế bào, phân tử, đặc điểm của sự điều hòa biểu hiện gen",PLO4,I
C010,Sinh,Sinh học và di truyền ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO2,"Giải thích được cơ chế di truyền của các tính trạng trong cơ thể bình thường, bệnh lý và nguyên tắc của một số kỹ thuật chẩn đoán bệnh di truyền",PLO4,I
C010,Sinh,Sinh học và di truyền ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO3,Vận dụng kiến thức sinh học di truyền để giải thích các tác động và vai trò của các yếu tố ảnh hưởng lên cơ thể theo YHHĐ và YHCT ,PLO4,I
C010,Sinh,Sinh học và di truyền ,2,2,0,Tây y,Đại cương,Clinical Methods,CLO3,Vận dụng kiến thức sinh học di truyền để giải thích các tác động và vai trò của các yếu tố ảnh hưởng lên cơ thể theo YHHĐ và YHCT ,PLO7,I
C011,Tin,Tin học ,2,0,2,Tây y,Đại cương,Clinical Methods,CLO1,Trình bày những kiến thức cơ bản về công nghệ thông tin ứng dụng trong y khoa,PLO3,M
C011,Tin,Tin học ,2,0,2,Tây y,Đại cương,Clinical Methods,CLO2,"Trình bày những kiến thức cần thiết để sử dụng tốt máy tính phục vụ cho hoạt động học tập, nâng cao chất lượng học tập",PLO3,M
C011,Tin,Tin học ,2,0,2,Tây y,Đại cương,Clinical Methods,CLO3,Liệt kê được một số ứng dụng CNTT trong y khoa,PLO3,M
C011,Tin,Tin học ,2,0,2,Tây y,Đại cương,Clinical Methods,CLO4,"Vận dụng những kiến thức cần thiết để sử dụng tốt máy tính phục vụ cho hoạt động học tập, nâng cao chất lượng học tập",PLO3,M
C011,Tin,Tin học ,2,0,2,Tây y,Đại cương,Clinical Methods,CLO5,"Vận dụng những kiến thức cần thiết để sử dụng tốt máy tính trong hoạt động hàng ngày (internet, email, …)",PLO3,M
C011,Tin,Tin học ,2,0,2,Tây y,Đại cương,Clinical Methods,CLO6,"Vận dụng kiến thức tin học để định dạng luận văn, bài báo, đề tài nghiên cứu khoa học đúng yêu cầu, có trích dẫn tài liệu tham khảo theo quy định.",PLO3,M
C011,Tin,Tin học ,2,0,2,Tây y,Đại cương,Clinical Methods,CLO7,"Vận dụng kiến thức tin học trong phân tích, thống kê, tổng hợp và quản lý dữ liệu y tế.",PLO3,M
C011,Tin,Tin học ,2,0,2,Tây y,Đại cương,Clinical Methods,CLO8,Tìm kiếm được thông tin y tế trực tuyến.,PLO3,M
C012,YĐ,Đạo đức y học ,1,1,0,Tây y,Đại cương,Ethics,CLO1,Vận dụng những nguyên lý y đức vào các mối quan hệ thầy thuốc – bệnh nhân,PLO1,M
C012,YĐ,Đạo đức y học ,1,1,0,Tây y,Đại cương,Ethics,CLO2,Vận dụng những nguyên lý y đức vào các mối quan hệ thầy thuốc – đồng nghiệp,PLO1,M
C012,YĐ,Đạo đức y học ,1,1,0,Tây y,Đại cương,Ethics,CLO3,Vận dụng những nguyên lý y đức vào các mối quan hệ thầy thuốc – cộng đồng,PLO1,M
C012,YĐ,Đạo đức y học ,1,1,0,Tây y,Đại cương,Ethics,CLO4,Giải thích tính chuyên nghiệp trong thực hành y khoa,PLO1,M
C013,Tâm lý,Tâm lý y học ,1,1,0,Tây y,Đại cương,Ethics,CLO1,Mô tả được các khái niệm cơ bản tâm lý y học,PLO8,I
C013,Tâm lý,Tâm lý y học ,1,1,0,Tây y,Đại cương,Ethics,CLO2,"Vân dụng được các yếu tố tâm lý, hành vi, văn hóa, xã hội để phân tích sự ảnh hưởng của chúng đến sức khỏe, bệnh tật của cá nhân, cộng đồng",PLO8,I
C013,Tâm lý,Tâm lý y học ,1,1,0,Tây y,Đại cương,Ethics,CLO3,Nhận dạng và gọi được tên các rối loạn tâm lý ở bệnh nhân ,PLO6,I
C013,Tâm lý,Tâm lý y học ,1,1,0,Tây y,Đại cương,Ethics,CLO4,Xác định các yếu tố tâm lý gây ảnh hưởng trầm trọng hơn cho bệnh lý,PLO4,I
C013,Tâm lý,Tâm lý y học ,1,1,0,Tây y,Đại cương,Ethics,CLO5,Phân tích được tương quan giữa thực thể và tâm lý ảnh hưởng đến mức độ bệnh,PLO4,I
C013,Tâm lý,Tâm lý y học ,1,1,0,Tây y,Đại cương,Ethics,CLO6,Vận dụng được can thiệp tâm lý – nhận thức – hành vi trên cá nhân người bệnh,PLO6,I
C014,NN1,Ngoại ngữ chuyên ngành 1,4,4,0,Tây y,Đại cương,Clinical Methods,,,,
C015,NN2,Ngoại ngữ chuyên ngành 2,4,4,0,Tây y,Đại cương,Clinical Methods,,,,
C016,GPI,Giải phẫu I,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Trình bày được 3 vấn đề cơ bản của giải phẫu: mặt phẳng quy chiếu và các khái niệm chỉ tương quan vị trí, danh pháp giải phẫu trong y khoa",PLO4,I
C016,GPI,Giải phẫu I,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,"Mô tả được cấu trúc giải phẫu và mối liên quan từng bộ phận trong các hệ thống, các cơ quan trong cơ thể (chi trên, chi dưới, đầu mặt cổ, giác quan)",PLO4,I
C016,GPI,Giải phẫu I,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO3,"Giải thích được các áp dụng của giải phẫu học trong các môn chuyên ngành như Ngoại, Sản, Y học cổ truyền, Chẩn đoán hình ảnh, …",PLO4,I
C017,THGP,Thực hành Giải phẫu I,1,0,1,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Chỉ ra được trên xác, hình vẽ, các phương tiện chẩn đoán hình ảnh, trên người sống, trên tiêu bản… các chi tiết giải phẫu đã học (chi trên, chi dưới, đầu mặt cổ, giác quan)",PLO4,R
C018,GPII,Giải phẫu II,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Mô tả được cấu trúc giải phẫu và mối liên quan từng bộ phận trong các hệ thống, các cơ quan trong cơ thể (các tạng ngực, bụng và hệ thần kinh)",PLO4,I
C018,GPII,Giải phẫu II,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,"Giải thích được các áp dụng của giải phẫu học trong các môn chuyên ngành như Y học Cổ truyền, Chẩn đoán hình ảnh, Ngoại khoa, Sản khoa, …",PLO4,I
C019,THGPII,Thực hành Giải phẫu II,1,0,1,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Chỉ ra được trên xác, hình vẽ, các phương tiện chẩn đoán hình ảnh, trên người sống, trên tiêu bản… các chi tiết giải phẫu các tạng ngực, bụng và hệ thần kinh.",PLO4,R
C020,Mô,Mô phôi ,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,Mô tả được cấu tạo mô học bình thường của các cơ quan và hệ thống cơ quan,PLO4,I
C020,Mô,Mô phôi ,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,Phân tích được chức năng chủ yếu của các thành phần cấu tạo mô học của các cơ quan và hệ thống cơ quan trong điều kiện bình thường,PLO4,I
C020,Mô,Mô phôi ,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO3,Giải thích sự liên quan giữa cấu tạo và chức năng trong từng mô và cơ quan,PLO4,I
C020,Mô,Mô phôi ,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO4,"Mô tả quá trình của sự tạo giao tử, sự thụ tinh, sự làm tổ, sự tạo phôi ba lá, sự hình thành và phát triển của một số hệ cơ quan",PLO4,I
C021,HSLS,Hoá sinh lâm sàng,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,Giải thích được những kiến thức cơ bản về Hóa sinh đại cương và Hóa sinh chuyển hóa các chất,PLO4,I
C021,HSLS,Hoá sinh lâm sàng,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,Áp dụng được các kiến thức xét nghiệm Hóa sinh thông thường vào chẩn đoán bệnh lý lâm sàng và nghiên cứu về y sinh học,PLO5,R
C022,VS,Vi sinh ,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,Trình bày đặc điểm vi sinh của một số tác nhân vi khuẩn và virus gây ra các bệnh nhiễm khuẩn thường gặp ở Việt Nam,PLO4,I
C022,VS,Vi sinh ,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,Giải thích khả năng gây bệnh của một số tác nhân vi khuẩn và virus gây ra các bệnh nhiễm khuẩn thường gặp ở Việt Nam,PLO4,I
C022,VS,Vi sinh ,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO3,"Trình bày chỉ định và cách lấy bệnh phẩm đúng cách (máu, nước tiểu, dịch não tủy, đàm, phân, dịch các loại...)",PLO5,R
C023,KS,Ký sinh trùng,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Trình bày được hình thể, chu kỳ, dịch tễ, khả năng gây bệnh một số bệnh thường gặp do ký sinh trùng gây ra",PLO4,I
C023,KS,Ký sinh trùng,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,Giải thích được mối liên quan giữa chu kỳ của ký sinh trùng với diễn biến bệnh do chúng gây ra,PLO4,I
C023,KS,Ký sinh trùng,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO3,"Trình bày chỉ định và cách lấy bệnh phẩm đúng cách (máu, nước tiểu, dịch não tủy, đàm, phân, dịch các loại...)",PLO5,R
C024,SLI,Sinh lý I,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Giải thích được sự điều hòa hoạt động của các cơ quan và hệ cơ quan (máu, tuần hoàn, hô hấp, tiêu hóa, sinh sản) trong cơ thể người bình thường",PLO4,I
C024,SLI,Sinh lý I,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,"Vận dụng những kiến thức cơ bản sinh lý học (hệ máu, tuần hoàn, hô hấp, tiêu hóa, sinh sản) để giải thích một số bệnh lý, rối loạn chức năng thường gặp trên lâm sàng",PLO4,R
C025,SLII,Sinh lý II,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Giải thích được sự điều hòa hoạt động của các tế bào, các cơ quan và hệ cơ quan (thận, nội tiết, thần kinh trung ương, giác quan, thần kinh cơ và sinh lý vận động) trong cơ thể người bình thường",PLO4,I
C025,SLII,Sinh lý II,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,"Giải thích được một số rối loạn chức năng thường gặp trên lâm sàng dựa vào những kiến thức cơ bản sinh lý học (thận, nội tiết, thần kinh trung ương, giác quan, thần kinh cơ và sinh lý vận động)",PLO4,I
C026,THSL,Thực hành Sinh lý,1,0,1,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Giải thích được ý nghĩa của các chỉ số bình thường trong tổng phân tích tế bào máu ngoại vi, điện tâm đồ 12 chuyển đạo, hô hấp ký",PLO5,I
C026,THSL,Thực hành Sinh lý,1,0,1,Tây y,Cơ sở ngành,Clinical Methods,CLO2,"Thực hiện và đánh giá được kết quả của nghiệm pháp dung nạp glucose, xác định nhóm máu theo hệ ABO",PLO5,R
C026,THSL,Thực hành Sinh lý,1,0,1,Tây y,Cơ sở ngành,Clinical Methods,CLO3,Thực hiện thuần thục đo và đánh giá được huyết áp trên người mẫu bằng huyết áp kế đồng hồ,PLO5,R
C027,GPB,Giải phẫu bệnh ,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,Trình bày nguyên tắc định danh và phân loại u theo danh pháp quốc tế,PLO4,I
C027,GPB,Giải phẫu bệnh ,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,Mô tả các đặc điểm đại thể và vi thể chính của những tổn thương thường gặp,PLO4,I
C027,GPB,Giải phẫu bệnh ,1,1,0,Tây y,Cơ sở ngành,Clinical Methods,CLO3,Giải thích được mối liên quan giữa đặc điểm đại thể và vi thể tổn thương và cơ chế bệnh sinh của một số bệnh lý,PLO4,R
C028,SLB,Sinh lý bệnh – Miễn dịch ,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,Giải thích được cơ chế bệnh sinh  của các quá trình bệnh lý thường gặp của các hệ cơ quan,PLO4,R
C028,SLB,Sinh lý bệnh – Miễn dịch ,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,Giải thích một số bệnh lý do bất thường của hệ thống miễn dịch,PLO4,R
C029,CDHA,Chẩn đoán hình ảnh ,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO1,Trình bày được sơ lược về chuyên ngành chẩn đoán hình ảnh,PLO5,I
C029,CDHA,Chẩn đoán hình ảnh ,2,2,0,Tây y,Cơ sở ngành,Clinical Methods,CLO2,"Trình bày được nguyên lý tạo ảnh và ứng dụng lâm sàng của phương pháp chụp XQ, siêu âm, CCLVT, CHT, y học hạt nhân",PLO5,I
C030,THCDHA,Thực hành Chẩn đoán hình ảnh ,2,0,2,Tây y,Cơ sở ngành,Clinical Methods,CLO1,"Chỉ định đúng các cận lâm sàng X quang, siêu âm, CCLVT, CHT, Y học hạt nhân trong hỗ trợ chẩn đoán lâm sàng",PLO5,R
C030,THCDHA,Thực hành Chẩn đoán hình ảnh ,2,0,2,Tây y,Cơ sở ngành,Clinical Methods,CLO2,"Phân tích được các bước đọc XQ cơ bản về tim phổi (thẳng, nghiêng), XQ xoang, XQ cột sống cổ, cột sống thắt lưng, XQ khớp vai, khớp gối, khớp háng.",PLO5,R
C030,THCDHA,Thực hành Chẩn đoán hình ảnh ,2,0,2,Tây y,Cơ sở ngành,Clinical Methods,CLO3,"Chẩn đoán được một số bệnh thường gặp trên XQ ngực, XQ xoang, XQ cột sống cổ, cột sống thắt lưng, XQ khớp vai, khớp gối, khớp háng.",PLO5,R
C030,THCDHA,Thực hành Chẩn đoán hình ảnh ,2,0,2,Tây y,Cơ sở ngành,Clinical Methods,CLO4,Nhận diện được các tạng trên siêu âm bụng tổng quát.,PLO5,R
C030,THCDHA,Thực hành Chẩn đoán hình ảnh ,2,0,2,Tây y,Cơ sở ngành,Clinical Methods,CLO5,Hợp tác làm việc nhóm,PLO2,I
C031,LLCB,Lý luận cơ bản YHCT  ,3,3,0,Đông y,Cơ sở ngành,Clinical Methods,CLO1,Trình bày được đặc điểm nổi bật của lịch sử YHCT Việt Nam và các nền YHCT lớn trên thế giới,PLO4,R
C031,LLCB,Lý luận cơ bản YHCT  ,3,3,0,Đông y,Cơ sở ngành,Clinical Methods,CLO2,"Giải thích được cơ sở lý luận một số vấn đề cơ bản trong YHCT bằng các học thuyết âm dương, ngũ hành, thiên nhân hợp nhất, học thuyết kinh lạc, lý luận về hình thể và các quan khiếu",PLO4,R
C031,LLCB,Lý luận cơ bản YHCT  ,3,3,0,Đông y,Cơ sở ngành,Clinical Methods,CLO3,Ứng dụng được học thuyết tạng tượng trong giải thích cơ sở lý luận các vấn đề sức khỏe thường gặp,PLO4,M
C031,LLCB,Lý luận cơ bản YHCT  ,3,3,0,Đông y,Cơ sở ngành,Clinical Methods,CLO4,"Trình bày được nguồn gốc và chức năng của tinh, khí, thần, tân dịch, huyết",PLO4,R
C031,LLCB,Lý luận cơ bản YHCT  ,3,3,0,Đông y,Cơ sở ngành,Clinical Methods,CLO5,"Trình bày được đặc điểm các nguyên nhân gây bệnh YHCT, cách phân loại theo Bát Cương, Bát Pháp",PLO4,R
C032,TVD,Thực vật dược ,1,1,0,Đông y,Cơ sở ngành,Clinical Methods,CLO1,"Giải thích được đặc điểm hình thái thực vật, cấu tạo, các cơ quan dinh 
dưỡng và sinh sản của thực vật bậc cao",PLO4,R
C032,TVD,Thực vật dược ,1,1,0,Đông y,Cơ sở ngành,Clinical Methods,CLO2,Giải thích được đặc điểm của 30 họ cây thuốc thường sử dụng trong y học cổ truyền,PLO4,R
C033,THTVD,Thực hành Thực vật dược,1,0,1,Đông y,Cơ sở ngành,Clinical Methods,CLO1,"Thực hiện phân tích được đặc điểm hình thái thực vật, cấu tạo, các cơ quan dinh dưỡng và sinh sản của thực vật bậc cao",PLO4,I
